Title,Old Url,New Url,Status,Notes,Group,Name,Whole Tag,Suggested Links
Omagh District Council : Directgov - Directories,http://www.direct.gov.uk/en/Dl1/Directories/DG_10011790,"",410,Info elsewhere on web,content-type section site source status reviewed destination,contact directories directgov mapping-exercise closed no gone,content-type:contact section:directories site:directgov source:mapping-exercise status:closed reviewed:no destination:gone,http://www.nidirect.gov.uk/local-councils-in-northern-ireland
"On a low income : Directgov - Money, tax and benefits",http://www.direct.gov.uk/en/MoneyTaxAndBenefits/BenefitsTaxCreditsAndOtherSupport/On_a_low_income/index.htm,https://www.gov.uk/browse/benefits/jobseekers-allowance,301,"14/10/12 AK - updated, top 500 review.",content-type section site source status reviewed destination,nav benefits directgov mapping-exercise closed no content,content-type:nav section:benefits site:directgov source:mapping-exercise status:closed reviewed:no destination:content,""
Online gaming : Directgov - Parents,http://www.direct.gov.uk/en/Parents/Yourchildshealthandsafety/Internetsafety/DG_182616,,410, Advice only,content-type section site source status destination,article parents directgov mapping-exercise closed gone,content-type:article section:parents site:directgov source:mapping-exercise status:closed destination:gone,
Online government services - don't get conned : Directgov - Newsroom,http://www.direct.gov.uk/en/Nl1/Newsroom/DG_198585,,410,"",content-type section site source status destination,article newsroom directgov mapping-exercise closed gone,content-type:article section:newsroom site:directgov source:mapping-exercise status:closed destination:gone,
Online passport application form explained : Directgov - Travel and transport,http://www.direct.gov.uk/en/TravelAndTransport/Passports/Applicationinformation/DG_174157,https://www.gov.uk/apply-first-adult-passport/the-application-form,301,"Was there any intention to expand the passport content on gov.uk? If not, then map to 'apply for a passport'
010712 LS - tool coming",content-type section site source status reviewed destination,article travel-and-transport directgov mapping-exercise closed no content,content-type:article section:travel-and-transport site:directgov source:mapping-exercise status:closed reviewed:no destination:content,""
Open Days : Directgov - Directories,http://www.direct.gov.uk/en/Dl1/Directories/DG_10011035,,410, Info elsewhere on web,content-type section site source status destination,contact directories directgov mapping-exercise closed gone,content-type:contact section:directories site:directgov source:mapping-exercise status:closed destination:gone,
Open University (OU) : Directgov - Directories,http://www.direct.gov.uk/en/Dl1/Directories/DG_10011025,"",410, Info elsewhere on web,content-type section site source status reviewed destination,contact directories directgov mapping-exercise closed no gone,content-type:contact section:directories site:directgov source:mapping-exercise status:closed reviewed:no destination:gone,""
Open access to the countryside,http://www.direct.gov.uk/en/Environmentandgreenerliving/Greenertravel/Enjoyingthecountryside/DG_187645,https://www.gov.uk/right-of-way-open-access-land/public-rights-of-way,301,"",content-type section site source status destination,article environment-and-greener-living directgov mapping-exercise closed content,content-type:article section:environment-and-greener-living site:directgov source:mapping-exercise status:closed destination:content,
"Opening a Child Trust Fund account - a beginner's guide : Directgov - Money, tax and benefits",http://www.direct.gov.uk/en/MoneyTaxAndBenefits/ChildBenefitandChildTrustFund/ChildTrustFund/SettingupaChildTrustFundaccount/DG_193682,https://www.gov.uk/child-trust-funds/opening-an-account,301,"",content-type section site source status destination,article tax directgov mapping-exercise closed content,content-type:article section:tax site:directgov source:mapping-exercise status:closed destination:content,
"Opening and running a bank account : Directgov - Money, tax and benefits",http://www.direct.gov.uk/en/MoneyTaxAndBenefits/ManagingMoney/BankAccountsAndBankingProducts/DG_10035252,"",410,"",content-type section site source status reviewed destination,article money directgov mapping-exercise closed no gone,content-type:article section:money site:directgov source:mapping-exercise status:closed reviewed:no destination:gone,https://www.moneyadviceservice.org.uk/
Opportunities in retirement : Directgov - Pensions and retirement planning,http://www.direct.gov.uk/en/Pensionsandretirementplanning/Working/OpportunitiesInRetirement/index.htm,,410,Other,content-type section site source status destination,nav pensions-and-retirement-planning directgov mapping-exercise closed gone,content-type:nav section:pensions-and-retirement-planning site:directgov source:mapping-exercise status:closed destination:gone,
Optic atrophy and driving : Directgov - Motoring,http://www.direct.gov.uk/en/Motoring/DriverLicensing/MedicalRulesForDrivers/MedicalA-Z/DG_185715,https://www.gov.uk/optic-atrophy-and-driving,301,"content coming

To be incorporated into a new custom tool",content-type section site source status reviewed destination,article motoring directgov mapping-exercise closed no content,content-type:article section:motoring site:directgov source:mapping-exercise status:closed reviewed:no destination:content,""
Optic neuritis and driving : Directgov - Motoring,http://www.direct.gov.uk/en/Motoring/DriverLicensing/MedicalRulesForDrivers/MedicalA-Z/DG_185716,https://www.gov.uk/optic-neuritis-and-driving,301,"content coming

To be incorporated into a new custom tool",content-type section site source status reviewed destination,article motoring directgov mapping-exercise closed no content,content-type:article section:motoring site:directgov source:mapping-exercise status:closed reviewed:no destination:content,""
Opting out of your workplace pension : Directgov - Pensions and retirement planning,http://www.direct.gov.uk/en/Pensionsandretirementplanning/Companyandpersonalpensions/WorkplacePensions/DG_200723,https://www.gov.uk/workplace-pensions,301," Info elsewhere on web

Is there a case for a guide to the law/rules on personal pensions or is this adequately covered elsewhere on the web?
LS - we have content on employer's duty to offer a pension. Personal pensions deemed out of scope at this time.

Leave as is",content-type section site source status reviewed destination,article pensions-and-retirement-planning directgov mapping-exercise closed no content,content-type:article section:pensions-and-retirement-planning site:directgov source:mapping-exercise status:closed reviewed:no destination:content,""
Options after 16: getting into university and higher education : Directgov - Education and learning,http://www.direct.gov.uk/en/EducationAndLearning/14To19/OptionsAt16/DG_066261,https://www.gov.uk/higher-education-courses-find-and-apply,301, Advice only,content-type section site source status reviewed destination,article education-and-learning directgov mapping-exercise closed no content,content-type:article section:education-and-learning site:directgov source:mapping-exercise status:closed reviewed:no destination:content,""
Options after graduation : Directgov - Education and learning,http://www.direct.gov.uk/en/EducationAndLearning/UniversityAndHigherEducation/ChoicesAfterYouGraduate/DG_4017755,"",410," Advice only

Info elsewhere on web too.",content-type section site source status reviewed destination,article education-and-learning directgov mapping-exercise closed no gone,content-type:article section:education-and-learning site:directgov source:mapping-exercise status:closed reviewed:no destination:gone,http://www.prospects.ac.uk
Options after school : Directgov - Parents,http://www.direct.gov.uk/en/Parents/Schoolslearninganddevelopment/Optionsafterschool/index.htm,"",410,"20/07/12 AK - no map so 410.

Not all of this is covered but I think enough of it is covered to justify a redirect to the Education browse page",content-type section site source status destination reviewed,nav parents directgov mapping-exercise closed gone no,content-type:nav section:parents site:directgov source:mapping-exercise status:closed destination:gone reviewed:no,
