,Pages,URL,HRef,Visits,Views,Average Time Viewed (seconds),Average Time to Serve (ms)
73,Ministry of Defence | About Defence | What we do | Personnel | SPVA | JPAC Enquiry Centre,http://www.mod.uk/defenceinternet/aboutdefence/whatwedo/personnel/spva/jpacenquirycentre.htm,http://www.mod.uk/defenceinternet/aboutdefence/whatwedo/personnel/spva/jpacenquirycentre.htm,19028,22599,133,0
74,Ministry of Defence | About Defence | What we do | Security and Intelligence | DBS National Security Vetting | The Vetting Process,http://www.mod.uk/defenceinternet/aboutdefence/whatwedo/securityandintelligence/dva/thevettingprocess.htm,http://www.mod.uk/defenceinternet/aboutdefence/whatwedo/securityandintelligence/dva/thevettingprocess.htm,18951,21912,204,0
75,Ministry of Defence | About Defence | What we do | Reserve Forces and Cadets | Reserve Forces | Mike,http://www.mod.uk/defenceinternet/aboutdefence/whatwedo/reserveforcesandcadets/reserveforces/mike.htm,http://www.mod.uk/defenceinternet/aboutdefence/whatwedo/reserveforcesandcadets/reserveforces/mike.htm,18907,29283,67,0
76,Ministry of Defence | Defence News | History and Honour | Operational Honours and Awards List: 28 September 2012,http://www.mod.uk/defenceinternet/defencenews/historyandhonour/operationalhonoursandawardslist28september2012.htm,http://www.mod.uk/defenceinternet/defencenews/historyandhonour/operationalhonoursandawardslist28september2012.htm,18475,21879,172,0
77,Ministry of Defence | MicroSite | Defence Infrastructure Organisation | What We Do | Disposals | Defence Infrastructure Organisation (DIO) Disposals Webpages - Terms and Conditions of Use of Documentation,http://www.mod.uk/defenceinternet/microsite/dio/whatwedo/disposals/defenceinfrastructureorganisationdiodisposalswebpagestermsandconditionsofuseofdocumentation.htm,http://www.mod.uk/defenceinternet/microsite/dio/whatwedo/disposals/defenceinfrastructureorganisationdiodisposalswebpagestermsandconditionsofuseofdocumentation.htm,18375,29680,30,0
78,Ministry of Defence | About Defence | What we do | Doctrine Operations and Diplomacy | PJHQ | Northwood Headquarters,http://www.mod.uk/defenceinternet/aboutdefence/whatwedo/doctrineoperationsanddiplomacy/pjhq/northwoodheadquarters.htm,http://www.mod.uk/defenceinternet/aboutdefence/whatwedo/doctrineoperationsanddiplomacy/pjhq/northwoodheadquarters.htm,18323,26085,62,0
79,Ministry of Defence | Defence News | Military Operations | Squadron Leader Anthony Downing dies of wounds sustained in Afghanistan,http://www.mod.uk/defenceinternet/defencenews/militaryoperations/squadronleaderanthonydowningdiesofwoundssustainedinafghanistan.htm,http://www.mod.uk/defenceinternet/defencenews/militaryoperations/squadronleaderanthonydowningdiesofwoundssustainedinafghanistan.htm,18215,20814,134,0
80,Ministry of Defence | Freedom of Information | How to make an official request under FOI | Ministry of Defence Data Protection Act Subject Access Request Form,http://www.mod.uk/defenceinternet/freedomofinformation/foicontact/ministryofdefencedataprotectionactsubjectaccessrequestform.htm,http://www.mod.uk/defenceinternet/freedomofinformation/foicontact/ministryofdefencedataprotectionactsubjectaccessrequestform.htm,18191,25321,146,0
81,Ministry of Defence | About Defence | What we do | Personnel | Armed Forces Pensions Compensation and Veterans | Pensions and Compensation - Home Page,http://www.mod.uk/defenceinternet/aboutdefence/whatwedo/personnel/pensions/pensionscompensationandveteranspcvhomepage.htm,http://www.mod.uk/defenceinternet/aboutdefence/whatwedo/personnel/pensions/pensionscompensationandveteranspcvhomepage.htm,18086,25607,72,0
82,Ministry of Defence | Defence News | Military Operations | RAF Typhoons scrambled over UK,http://www.mod.uk/defenceinternet/defencenews/militaryoperations/raftyphoonsscrambledoveruk.htm,http://www.mod.uk/defenceinternet/defencenews/militaryoperations/raftyphoonsscrambledoveruk.htm,18018,20004,109,0
83,Ministry of Defence | About Defence | Corporate Publications | Air Safety and Aviation Publications | Military Low Flying | Operational Low Flying Training Timetable,http://www.mod.uk/defenceinternet/aboutdefence/corporatepublications/airsafetyandaviationpublications/militarylowflying/operationallowflyingtrainingtimetable.htm,http://www.mod.uk/defenceinternet/aboutdefence/corporatepublications/airsafetyandaviationpublications/militarylowflying/operationallowflyingtrainingtimetable.htm,17948,25895,86,0
84,Ministry of Defence | Defence For... | Jobseekers | Civilian Careers | The Defence Commercial Graduate Programme,http://www.mod.uk/defenceinternet/defencefor/jobseekers/civiliancareers/thedefencecommercialgraduateprogramme.htm,http://www.mod.uk/defenceinternet/defencefor/jobseekers/civiliancareers/thedefencecommercialgraduateprogramme.htm,17741,21680,115,0
85,Ministry of Defence | Defence For... | The Service Community | BFPO | How To Address Your Mail,http://www.mod.uk/defenceinternet/defencefor/servicecommunity/bfpo/howtoaddressyourmail.htm,http://www.mod.uk/defenceinternet/defencefor/servicecommunity/bfpo/howtoaddressyourmail.htm,17694,21013,113,0
86,Ministry of Defence | About Defence | What we do | Doctrine Operations and Diplomacy | PJHQ | The Permanent Joint Headquarters (PJHQ),http://www.mod.uk/defenceinternet/aboutdefence/whatwedo/doctrineoperationsanddiplomacy/pjhq/thepermanentjointheadquarterspjhq.htm,http://www.mod.uk/defenceinternet/aboutdefence/whatwedo/doctrineoperationsanddiplomacy/pjhq/thepermanentjointheadquarterspjhq.htm,17276,23910,59,0
87,Ministry of Defence | About Defence | What we do | Finance and Procurement | AOF | Acquisition Operating Framework (AOF),http://www.mod.uk/defenceinternet/aboutdefence/whatwedo/financeandprocurement/aof/acquisitionoperatingframeworkaof.htm,http://www.mod.uk/defenceinternet/aboutdefence/whatwedo/financeandprocurement/aof/acquisitionoperatingframeworkaof.htm,16704,24456,150,0
88,Ministry of Defence | MicroSite | Defence Infrastructure Organisation | What We Do | Accommodation | Applying for and allocation of SFA,http://www.mod.uk/defenceinternet/microsite/dio/whatwedo/accommodation/applyingforandallocationofsfa.htm,http://www.mod.uk/defenceinternet/microsite/dio/whatwedo/accommodation/applyingforandallocationofsfa.htm,16489,24837,89,0
